iter	RMSE
0	5.318832195
1	5.190914318
2	5.077893703
3	4.959233267
4	4.842117529
5	4.728224402
6	4.617777958
7	4.514684201
8	4.407117611
9	4.311973342
10	4.210478316
11	4.113185422
12	4.018359369
13	3.927637633
14	3.834152878
15	3.744457209
16	3.658899541
17	3.572509916
18	3.491485699
19	3.412263693
20	3.335640443
21	3.261642057
22	3.187455484
23	3.111609529
24	3.043720763
25	2.97817924
26	2.911840698
27	2.847469779
28	2.784568046
29	2.722227916
30	2.663181789
31	2.608778648
32	2.555044031
33	2.498555491
34	2.447183057
35	2.396075659
36	2.344741903
37	2.295666539
38	2.246295557
39	2.204022152
40	2.157881139
41	2.113380334
42	2.070942445
43	2.027927694
44	1.985708104
45	1.945231569
46	1.905080681
47	1.870565037
48	1.833380383
49	1.79519448
50	1.762754838
51	1.728012712
52	1.694017427
53	1.662363202
54	1.629505282
55	1.600172439
56	1.569737848
57	1.539860972
58	1.512164664
59	1.483171091
60	1.459476647
61	1.432966985
62	1.403529986
63	1.376885959
64	1.353092309
65	1.331230142
66	1.30639604
67	1.283767917
68	1.26180279
69	1.240056445
70	1.220927343
71	1.200466249
72	1.180630862
73	1.160080376
74	1.141431308
75	1.122002201
76	1.105557887
77	1.088593228
78	1.071645724
79	1.054797452
80	1.039556312
81	1.022783741
82	1.004923827
83	0.9894210259
84	0.9754585248
85	0.9625746201
86	0.9478610896
87	0.9330767832
88	0.9197914054
89	0.9075884481
90	0.8959031925
91	0.8816927648
92	0.868631981
93	0.8552901424
94	0.8440445147
95	0.8343622974
96	0.8232664915
97	0.8126839971
98	0.8001722812
99	0.7908090055
100	0.7812400235
101	0.7723592419
102	0.7633701724
103	0.7545613007
104	0.7458124558
105	0.7355408558
106	0.726732465
107	0.7192225942
108	0.7114699808
109	0.7028520808
110	0.6951677995
111	0.6860144058
112	0.6769417334
113	0.6692573402
114	0.6611060566
115	0.6530096351
116	0.6460270523
117	0.6385627937
118	0.6310261856
119	0.6239125856
120	0.6173750443
121	0.611188622
122	0.6044703106
123	0.5983652046
124	0.5918599693
125	0.5863004906
126	0.5800483375
127	0.5736645382
128	0.5674003397
129	0.5611173173
130	0.5559632892
131	0.5515118011
132	0.545507721
133	0.5406580676
134	0.5354303701
135	0.5314490868
136	0.5267508391
137	0.521450013
138	0.5167119309
139	0.5112293064
140	0.5059815593
141	0.5028913668
142	0.499666705
143	0.4951842018
144	0.4921175916
145	0.4877905854
146	0.4830625827
147	0.4794129053
148	0.4748943206
149	0.471350149
150	0.4668190114
151	0.4629856989
152	0.4597365357
153	0.4567896887
154	0.4534832961
155	0.4498637869
156	0.4458208673
157	0.4417949967
158	0.4393867506
159	0.4359986022
160	0.4325570336
161	0.4292193983
162	0.4257207201
163	0.4222402461
164	0.4191459242
165	0.4167207659
166	0.4134410699
167	0.4104361543
168	0.4073053871
169	0.4043693156
170	0.4018604315
171	0.3990145331
172	0.3970821772
173	0.3946388224
174	0.392308959
175	0.3901723604
176	0.3873565754
177	0.3852271482
178	0.3833116264
179	0.3809990621
180	0.3786889901
181	0.3776776654
182	0.3760193062
183	0.3738185356
184	0.3728751239
185	0.3706236047
186	0.3678657923
187	0.3656872294
188	0.3636175205
189	0.3613386824
190	0.3590741206
191	0.3568239052
192	0.3543950938
193	0.3534134499
194	0.3511275568
195	0.3499211174
196	0.3485865622
197	0.346467375
198	0.3445600473
199	0.3428021939
200	0.3419317553
201	0.3407444775
202	0.33937205
203	0.3373870858
204	0.3353081712
205	0.3336098709
206	0.3321602816
207	0.330628664
208	0.3288563285
209	0.3271892225
210	0.3251557086
211	0.3234983407
212	0.3218282271
213	0.3203898914
214	0.3192853754
215	0.318164033
216	0.3166191091
217	0.3150556878
218	0.3129418266
219	0.3123200564
220	0.3115561392
221	0.3099860419
222	0.3084504709
223	0.3065501694
224	0.3058898323
225	0.3052786092
226	0.303742822
227	0.3028024906
228	0.3017634109
229	0.300592788
230	0.2990123929
231	0.2979005887
232	0.2967346902
233	0.2962409923
234	0.294831939
235	0.2933202963
236	0.291812998
237	0.290406138
238	0.28982942
239	0.2885681563
240	0.2870074001
241	0.2861062362
242	0.2850801584
243	0.2846393202
244	0.2835541003
245	0.2830869953
246	0.2826565505
247	0.281178178
248	0.280356525
249	0.2792479395
250	0.2787432912
251	0.2778564311
252	0.2764477503
253	0.2756242642
254	0.2751950029
255	0.274799194
256	0.2743879025
257	0.2732630448
258	0.2728624363
259	0.2717282033
260	0.2708289408
261	0.2694266747
262	0.2689010238
263	0.2678920936
264	0.2670205396
265	0.2666441654
266	0.2653234231
267	0.264962831
268	0.2638743818
269	0.2635385411
270	0.2621768637
271	0.2611068819
272	0.2599755609
273	0.2595519271
274	0.2587626771
275	0.2575908979
276	0.2571787236
277	0.2560423311
278	0.2554525672
279	0.2543253949
280	0.2532349183
281	0.2528792766
282	0.2517961891
283	0.2509225912
284	0.2501702969
285	0.2492060307
286	0.2488160438
287	0.2476884205
288	0.2473952668
289	0.2461842286
290	0.2452559093
291	0.2449238773
292	0.2439647345
293	0.2430250789
294	0.2424337279
295	0.2414160354
296	0.2406397068
297	0.2401543104
298	0.2391348391
299	0.2386200051
300	0.2382648966
301	0.2374487984
302	0.2371088347
303	0.2365808691
304	0.2355638314
305	0.2346955848
306	0.2341543776
307	0.2331152799
308	0.2327823876
309	0.2324944272
310	0.2317545294
311	0.2312323937
312	0.2307814813
313	0.230418896
314	0.2298921688
315	0.2295801752
316	0.2286853039
317	0.22777912
318	0.2269782886
319	0.2266703191
320	0.2258462733
321	0.225139102
322	0.2243730345
323	0.2237815368
324	0.2228862359
325	0.2225938124
326	0.2219537849
327	0.2212199381
328	0.2209338429
329	0.2200825906
330	0.2193129339
331	0.2190348371
332	0.2186225305
333	0.2179216285
334	0.21708192
335	0.2166903763
336	0.2160307986
337	0.2152843147
338	0.2145244099
339	0.2137857358
340	0.2133543096
341	0.2126954803
342	0.211925266
343	0.2112776237
344	0.2107163043
345	0.2101022041
346	0.2094903933
347	0.2088983956
348	0.2081390018
349	0.2075263918
350	0.207038596
351	0.2063822539
352	0.2060396421
353	0.2055286506
354	0.2050503535
355	0.2044369579
356	0.2038038633
357	0.2031630139
358	0.2026022682
359	0.202050843
360	0.20138769
361	0.2008197694
362	0.2001864866
363	0.1995550483
364	0.1991230321
365	0.1985001257
366	0.1980722688
367	0.1975945749
368	0.1970982206
369	0.1966962619
370	0.1963048919
371	0.1958614235
372	0.1952837426
373	0.1948945132
374	0.1945880582
375	0.1942839476
376	0.1937708597
377	0.1935400879
378	0.1930749686
379	0.1924840293
380	0.1921466543
381	0.1915465173
382	0.1910587129
383	0.1905824267
384	0.1900539649
385	0.1896393467
386	0.1893046875
387	0.1888426767
388	0.1884495227
389	0.1880261543
390	0.1876407661
391	0.1872799374
392	0.1869100367
393	0.1863427374
394	0.1858604708
395	0.1854961716
396	0.1851143192
397	0.184641404
398	0.1842151044
399	0.1836696697
400	0.1832120801
401	0.1827090782
402	0.1824052567
403	0.1819476709
404	0.1815128198
405	0.1810083118
406	0.180610582
407	0.1803007944
408	0.1797756854
409	0.1794170714
410	0.1791047935
411	0.1787229696
412	0.1784116951
413	0.1780865412
414	0.1778277365
415	0.1773657153
416	0.1769557083
417	0.1765730569
418	0.176292644
419	0.1759184858
420	0.1754787468
421	0.1751537164
422	0.1748515573
423	0.1745457307
424	0.1741932424
425	0.1737896826
426	0.1733793028
427	0.1729241317
428	0.1726672841
429	0.1723285824
430	0.1719756513
431	0.171597851
432	0.1712341907
433	0.1708765223
434	0.1705611045
435	0.1702148337
436	0.1699145579
437	0.1696319753
438	0.1692083094
439	0.1689384344
440	0.168605284
441	0.1682364329
442	0.1679489335
443	0.1676133485
444	0.1673723229
445	0.1671077013
