iter	Passed	Remaining
0	1	1447
1	3	1353
2	4	1297
3	6	1278
4	7	1234
5	9	1208
6	10	1202
7	12	1197
8	13	1205
9	15	1216
10	16	1218
11	18	1217
12	20	1215
13	21	1214
14	23	1205
15	24	1204
16	26	1200
17	27	1196
18	29	1195
19	30	1188
20	31	1178
21	33	1174
22	34	1165
23	35	1161
24	37	1156
25	38	1151
26	40	1147
27	41	1147
28	42	1140
29	44	1134
30	45	1136
31	47	1136
32	48	1132
33	49	1125
34	51	1122
35	52	1118
36	54	1116
37	55	1113
38	56	1108
39	58	1104
40	59	1099
41	60	1095
42	62	1094
43	63	1089
44	64	1084
45	65	1080
46	67	1077
47	68	1075
48	70	1076
49	71	1075
50	73	1074
51	74	1072
52	75	1068
53	77	1067
54	78	1065
55	80	1066
56	81	1064
57	83	1067
58	84	1067
59	86	1064
60	87	1064
61	89	1063
62	90	1064
63	92	1064
64	93	1061
65	95	1059
66	96	1056
67	98	1055
68	99	1053
69	100	1052
70	102	1051
71	104	1052
72	105	1050
73	107	1050
74	108	1049
75	110	1049
76	111	1049
77	113	1049
78	114	1049
79	116	1051
80	118	1053
81	120	1053
82	121	1051
83	123	1050
84	124	1050
85	126	1048
86	128	1049
87	129	1046
88	130	1046
89	132	1046
90	134	1046
91	135	1045
92	137	1044
93	138	1042
94	140	1039
95	141	1040
96	143	1040
97	144	1038
98	146	1037
99	148	1036
100	150	1039
101	151	1040
102	153	1040
103	155	1039
104	157	1039
105	158	1038
106	159	1035
107	161	1032
108	162	1030
109	164	1030
110	165	1028
111	167	1026
112	168	1025
113	170	1025
114	172	1028
115	174	1028
116	175	1026
117	177	1026
118	179	1025
119	180	1025
120	182	1022
121	183	1022
122	185	1023
123	187	1020
124	188	1017
125	189	1016
126	191	1015
127	193	1014
128	194	1012
129	196	1010
130	197	1007
131	198	1004
132	199	1001
133	201	999
134	202	998
135	203	995
136	205	993
137	206	990
138	207	987
139	208	984
140	210	982
141	211	979
142	212	976
143	214	975
144	215	972
145	216	970
146	218	968
147	219	966
148	220	964
149	221	961
150	223	959
151	224	958
152	226	956
153	227	953
154	228	951
155	230	950
156	231	947
157	232	946
158	234	943
159	235	941
160	236	939
161	237	936
162	239	934
163	240	931
164	241	929
165	242	927
166	244	925
167	245	923
168	246	921
169	248	919
170	249	918
171	250	916
172	252	914
173	253	913
174	255	912
175	256	910
176	258	908
177	259	907
178	261	905
179	262	903
180	263	901
181	265	900
182	266	898
183	267	896
184	269	894
185	270	892
186	271	890
187	273	888
188	274	886
189	275	884
190	276	882
191	278	880
192	279	878
193	280	876
194	281	874
195	283	873
196	285	872
197	286	870
198	287	869
199	289	867
200	290	865
201	291	864
202	293	862
203	294	859
204	295	858
205	296	855
206	298	853
207	299	851
208	300	849
209	302	849
210	303	847
211	304	845
212	306	844
213	307	843
214	309	841
215	310	840
216	311	838
217	313	836
218	314	834
219	315	831
220	316	829
221	318	828
222	319	825
223	320	824
224	321	822
225	323	820
226	324	818
227	325	816
228	326	815
229	328	813
230	329	812
231	331	810
232	332	808
233	333	807
234	335	806
235	336	804
236	338	803
237	339	801
238	340	799
239	342	798
240	343	796
241	344	794
242	345	792
243	347	791
244	348	789
245	349	788
246	351	786
247	352	784
248	353	782
249	354	780
250	356	779
251	357	777
252	358	775
253	360	773
254	361	772
255	362	770
256	363	768
257	365	767
258	366	765
259	367	763
260	369	762
261	370	760
262	371	758
263	372	756
264	374	755
265	375	753
266	376	751
267	377	750
268	378	748
269	380	746
270	381	744
271	383	743
272	384	741
273	385	740
274	386	738
275	388	737
276	389	735
277	391	734
278	392	732
279	393	731
280	395	730
281	396	728
282	397	726
283	399	725
284	400	723
285	401	721
286	403	720
287	404	718
288	405	717
289	406	715
290	408	713
291	409	712
292	410	710
293	412	709
294	413	707
295	414	706
296	415	704
297	417	702
298	418	701
299	419	699
300	421	698
301	422	696
302	423	695
303	425	693
304	426	691
305	427	690
306	428	688
307	430	687
308	431	685
309	432	684
310	434	682
311	435	681
312	436	679
313	438	678
314	439	676
315	440	674
316	441	673
317	443	672
318	444	670
319	445	668
320	447	667
321	448	665
322	449	664
323	451	662
324	452	661
325	453	659
326	455	658
327	456	656
328	457	655
329	458	653
330	460	652
