iter	RMSE
0	5.241857118
1	5.027969626
2	4.840021271
3	4.653439533
4	4.474666092
5	4.301758126
6	4.134425342
7	3.976714699
8	3.8237512
9	3.680796729
10	3.542908606
11	3.409442244
12	3.281452248
13	3.15535849
14	3.044543433
15	2.93605239
16	2.84047697
17	2.733980822
18	2.633388914
19	2.538046449
20	2.450594828
21	2.366962025
22	2.281590177
23	2.19892121
24	2.123304083
25	2.05310101
26	1.986762112
27	1.922188428
28	1.862514914
29	1.804190387
30	1.747614562
31	1.690842918
32	1.639281124
33	1.584669676
34	1.537058538
35	1.493516823
36	1.446085358
37	1.402120284
38	1.359129258
39	1.319172505
40	1.279761224
41	1.240169899
42	1.205061535
43	1.171791549
44	1.137289903
45	1.105235374
46	1.075704517
47	1.04681154
48	1.018184798
49	0.9902720039
50	0.9661794072
51	0.9414589696
52	0.9218140549
53	0.897461106
54	0.8777230597
55	0.8582284565
56	0.8389292011
57	0.8201635872
58	0.7994635729
59	0.780503005
60	0.7675119174
61	0.7518125338
62	0.7375058701
63	0.7202608571
64	0.7058085101
65	0.6913302528
66	0.6779390985
67	0.6638694013
68	0.6501608225
69	0.6373929796
70	0.6260992764
71	0.6140721504
72	0.6042858241
73	0.5913845121
74	0.5802809671
75	0.5695750615
76	0.561360241
77	0.5524052335
78	0.5442689696
79	0.5337667614
80	0.5252847382
81	0.5169849723
82	0.5110243142
83	0.5032536263
84	0.4970684241
85	0.4895092651
86	0.4854484544
87	0.4780585111
88	0.4721026735
89	0.4660583428
90	0.4583481289
91	0.4523701983
92	0.4457805461
93	0.4391160475
94	0.433996688
95	0.4297305756
96	0.4255393865
97	0.4220965074
98	0.4180812311
99	0.4131458707
100	0.4080432901
101	0.4033157614
102	0.3990685299
103	0.3934220431
104	0.3893033413
105	0.3845664709
106	0.3809521865
107	0.3761479541
108	0.371827896
109	0.3668669739
110	0.3629251171
111	0.358142877
112	0.3552035328
113	0.352137443
114	0.3493078215
115	0.345218847
116	0.341792631
117	0.3382558593
118	0.3369210765
119	0.3341020538
120	0.3328549291
121	0.3297281198
122	0.327779073
123	0.3253926995
124	0.3231424762
125	0.3201724968
126	0.3170526889
127	0.3143934543
128	0.3117893567
129	0.3091500584
130	0.3068326409
131	0.3043039231
132	0.3032722822
133	0.3011119791
134	0.2999679109
135	0.2973607564
136	0.2951220965
137	0.2942879057
138	0.2917980782
139	0.2895471645
140	0.2884131118
141	0.2877998579
142	0.2871286359
143	0.285050006
144	0.2844306976
145	0.2829330191
146	0.2819317906
147	0.2797161583
148	0.2792203568
149	0.2780844086
150	0.2765855018
151	0.2756757518
152	0.2735308108
153	0.272887776
154	0.2710208838
155	0.2691346061
156	0.2670606186
157	0.2655789712
158	0.2650043396
159	0.2645669904
160	0.2633683165
161	0.2621068317
162	0.2617364466
163	0.2604646873
164	0.2584981034
165	0.2569873424
166	0.2552943945
167	0.254845788
168	0.2534055849
169	0.2530207683
170	0.2521519827
171	0.2518320413
172	0.2514561548
173	0.2502341905
174	0.2497140453
175	0.2488598014
176	0.2471324866
177	0.2455471934
178	0.2438156423
179	0.2427346899
180	0.2423784598
181	0.2411999346
182	0.2401155564
183	0.2397152456
184	0.238491655
185	0.2370655039
186	0.2366860263
187	0.2352263463
188	0.2340378436
189	0.2331814786
190	0.2319931239
191	0.2305264097
192	0.2292629199
193	0.2282484322
194	0.2268771013
195	0.2253191228
196	0.224593083
197	0.2242175777
198	0.2231740714
199	0.2220437747
200	0.2206901372
201	0.219859797
202	0.2186203844
203	0.2183394601
204	0.2175090184
205	0.2167960693
206	0.2158678768
207	0.2155535346
208	0.2152984372
209	0.2144515967
210	0.2134939016
211	0.2121504726
212	0.2108545896
213	0.209647036
214	0.208786591
215	0.2079059325
216	0.206754324
217	0.2054082316
218	0.2042533611
219	0.2031098222
220	0.2021544702
221	0.2007979524
222	0.2000307316
223	0.1991766083
224	0.1983034787
225	0.1974788731
226	0.1966906886
227	0.1960507495
228	0.1950023898
229	0.1943680804
230	0.193658445
231	0.1930439232
232	0.1924286634
233	0.1916774568
234	0.190943033
235	0.1901181337
236	0.1894840301
237	0.1888780248
238	0.1881649101
