iter	Passed	Remaining
0	7	14009
1	13	13879
2	19	13217
3	26	12978
4	32	12971
5	38	12954
6	44	12793
7	50	12640
8	56	12521
9	61	12313
10	66	11945
11	69	11594
12	74	11411
13	78	11199
14	83	11069
15	88	10916
16	92	10813
17	97	10772
18	103	10758
19	108	10698
20	113	10713
21	117	10607
22	122	10523
23	124	10236
24	126	9978
25	129	9820
26	131	9591
27	133	9380
28	135	9184
29	137	9004
30	139	8833
31	141	8673
32	142	8515
33	145	8393
34	147	8266
35	149	8156
36	151	8037
37	153	7925
38	155	7828
39	157	7729
40	159	7625
41	161	7525
42	163	7448
43	165	7351
44	167	7262
45	168	7172
46	170	7097
47	172	7013
48	174	6932
49	175	6853
50	177	6773
51	179	6711
52	180	6645
53	182	6576
54	184	6509
55	185	6447
56	187	6387
57	189	6350
58	191	6309
59	193	6265
60	195	6218
61	197	6183
62	199	6134
63	201	6094
64	203	6061
65	205	6032
66	208	6008
67	210	5966
68	211	5923
69	213	5882
70	215	5842
71	216	5803
72	218	5766
73	220	5747
74	222	5714
75	224	5684
76	226	5649
77	227	5609
78	229	5578
79	231	5549
80	232	5519
81	234	5495
82	236	5471
83	238	5449
84	241	5430
85	242	5407
86	244	5383
87	246	5355
88	248	5331
89	250	5314
90	252	5295
91	254	5280
92	256	5264
93	258	5241
94	260	5217
95	261	5196
96	264	5181
97	266	5171
98	268	5156
99	270	5147
100	273	5133
101	274	5116
102	276	5101
103	278	5084
104	280	5069
105	282	5054
106	284	5038
107	286	5021
108	288	5005
109	290	4991
110	292	4982
111	294	4972
112	297	4968
113	299	4959
114	302	4951
115	303	4936
116	306	4929
117	308	4927
118	311	4919
119	313	4916
120	315	4905
121	317	4891
122	319	4873
123	321	4859
124	323	4847
125	324	4830
126	326	4816
127	328	4803
128	330	4790
129	331	4775
130	333	4762
131	335	4748
132	337	4734
133	338	4719
134	340	4705
135	342	4690
136	343	4676
137	345	4663
138	347	4657
139	349	4648
140	352	4653
141	354	4644
142	357	4637
143	359	4628
144	360	4613
145	362	4603
146	364	4595
147	366	4585
148	369	4586
149	371	4578
150	372	4567
151	375	4559
152	377	4552
153	378	4539
154	380	4530
155	382	4517
156	383	4507
157	385	4496
158	387	4484
159	388	4472
160	390	4460
161	392	4447
162	393	4436
163	395	4423
164	396	4412
165	398	4399
166	399	4388
167	401	4379
168	403	4367
169	404	4354
170	406	4343
171	407	4333
172	409	4324
173	410	4312
174	412	4302
175	414	4295
176	416	4286
177	417	4277
178	419	4268
179	421	4258
180	422	4248
181	425	4247
182	427	4245
183	429	4239
184	431	4230
185	432	4221
186	434	4213
187	436	4203
188	437	4195
189	439	4185
190	440	4175
191	442	4166
192	443	4156
193	445	4146
194	446	4137
195	448	4127
196	450	4119
197	451	4111
198	454	4108
199	455	4103
200	457	4098
201	459	4090
202	461	4082
203	462	4075
204	464	4067
205	466	4060
206	468	4054
207	469	4048
208	472	4045
209	474	4040
210	475	4031
211	477	4024
212	478	4017
213	480	4009
214	482	4003
215	483	3997
216	485	3990
217	487	3983
218	488	3975
219	490	3967
220	491	3959
221	493	3952
222	495	3945
223	496	3937
224	498	3930
225	499	3923
226	501	3915
227	503	3909
228	504	3904
229	506	3898
230	508	3894
231	510	3888
232	511	3881
233	513	3875
234	515	3870
235	517	3864
236	518	3858
237	520	3852
238	521	3845
239	523	3838
240	525	3833
241	526	3828
242	528	3821
243	530	3817
244	532	3816
245	534	3811
246	536	3806
247	538	3803
248	540	3798
249	541	3792
250	543	3787
251	545	3781
252	546	3776
253	548	3772
254	550	3768
255	552	3766
256	554	3762
257	556	3759
258	558	3755
259	560	3751
260	562	3748
261	564	3742
262	565	3737
263	567	3731
264	569	3726
265	570	3722
266	573	3722
267	575	3720
268	577	3715
269	579	3712
270	580	3706
271	582	3700
272	584	3694
273	585	3690
274	587	3686
275	589	3680
276	590	3674
277	592	3668
278	594	3664
279	595	3660
280	597	3657
281	599	3654
282	601	3649
283	603	3646
284	605	3641
285	606	3637
286	608	3634
287	610	3630
288	612	3626
289	614	3621
290	615	3616
291	617	3612
292	619	3608
293	621	3605
294	622	3600
295	624	3596
296	626	3594
297	628	3590
298	630	3588
299	632	3586
300	634	3583
301	636	3578
302	638	3575
303	640	3573
304	643	3573
305	645	3572
306	647	3570
307	649	3568
308	651	3566
309	653	3565
310	656	3563
311	658	3561
312	660	3558
313	661	3553
314	663	3548
315	665	3545
316	666	3540
317	668	3535
318	670	3531
319	672	3529
320	673	3524
321	675	3519
322	676	3514
323	678	3509
324	680	3504
325	681	3501
326	683	3498
327	685	3494
328	687	3492
329	689	3488
330	691	3484
331	692	3480
332	694	3477
333	696	3472
334	697	3468
335	700	3469
336	702	3468
337	705	3466
338	707	3465
339	709	3463
340	711	3459
341	712	3455
342	714	3451
343	716	3447
344	717	3443
345	719	3440
346	721	3438
347	723	3435
348	725	3431
349	726	3427
350	728	3422
351	730	3418
352	732	3415
353	733	3412
354	735	3410
355	738	3408
356	739	3404
357	741	3401
358	743	3397
359	745	3394
360	747	3392
361	748	3388
362	750	3386
363	754	3389
364	755	3385
365	757	3382
366	759	3380
367	761	3378
368	763	3375
369	765	3374
370	768	3376
371	771	3374
372	772	3370
373	774	3367
374	776	3364
375	778	3362
376	780	3360
377	782	3359
378	784	3356
379	786	3352
380	788	3349
381	790	3346
382	791	3343
383	793	3341
384	796	3341
385	799	3343
386	801	3342
387	803	3339
388	805	3336
389	807	3333
390	809	3330
391	811	3328
392	814	3328
393	816	3328
394	818	3325
395	820	3323
396	822	3321
397	824	3319
398	827	3319
399	829	3319
400	832	3320
401	834	3317
402	836	3315
403	839	3314
404	841	3313
405	843	3311
406	846	3312
407	848	3309
408	849	3306
409	851	3302
410	853	3298
411	855	3296
412	857	3293
413	860	3297
414	863	3298
415	865	3295
416	867	3292
417	869	3288
418	870	3285
419	872	3281
420	874	3280
421	877	3279
422	879	3277
423	880	3274
424	882	3271
425	884	3267
426	886	3265
427	888	3265
428	891	3264
429	893	3261
430	895	3258
431	896	3255
432	898	3251
433	900	3248
434	902	3245
435	903	3241
436	905	3239
437	907	3235
438	908	3231
439	910	3228
440	912	3225
441	914	3222
442	916	3219
443	917	3215
444	920	3215
445	922	3212
446	924	3211
447	925	3207
448	927	3205
449	930	3204
450	932	3201
451	934	3200
452	936	3197
453	938	3195
454	940	3192
455	941	3188
456	943	3185
457	945	3182
458	946	3178
459	948	3174
460	949	3171
461	951	3168
462	954	3167
463	955	3163
464	957	3160
465	958	3156
466	960	3152
467	962	3149
468	963	3145
469	965	3142
470	967	3140
471	969	3139
472	971	3137
473	973	3133
474	975	3131
475	976	3127
476	978	3124
477	980	3121
478	982	3118
479	984	3116
480	986	3113
481	987	3110
482	989	3106
483	990	3103
484	992	3101
485	994	3098
486	996	3096
487	998	3093
488	999	3089
489	1001	3086
490	1003	3083
491	1004	3080
492	1006	3077
493	1009	3076
494	1010	3073
495	1012	3071
496	1014	3068
497	1016	3066
498	1018	3062
499	1019	3058
500	1021	3054
501	1022	3051
502	1024	3048
503	1025	3044
504	1027	3041
505	1029	3038
506	1030	3035
507	1032	3032
508	1033	3028
509	1035	3025
510	1037	3022
511	1038	3019
512	1040	3016
513	1042	3014
514	1044	3011
515	1046	3009
516	1047	3005
517	1049	3002
518	1051	2999
519	1052	2996
520	1054	2993
521	1056	2990
522	1058	2988
523	1059	2985
524	1061	2982
525	1063	2979
526	1064	2976
527	1066	2972
528	1067	2969
529	1069	2966
530	1071	2963
531	1072	2960
532	1074	2958
533	1076	2956
534	1078	2953
535	1080	2950
536	1081	2947
537	1083	2944
538	1085	2941
539	1087	2939
540	1088	2936
541	1090	2933
542	1092	2931
543	1094	2929
544	1096	2926
545	1097	2923
546	1099	2921
547	1101	2918
548	1103	2915
549	1105	2913
550	1106	2910
551	1108	2909
552	1110	2906
553	1112	2903
